Vernier Format 2,,,,
untitled.txt 6/15/2026 13:51:4,,,,
Run 1,,,,
Time,Gate State,Distance,Velocity,Acceleration
58.27611,Unblocked,,,
59.22837,Blocked,3.2,0.055,0.01
59.27224,Unblocked,,,
60.07325,Blocked,3.25,0.055,-0.01
60.1172,Unblocked,,,
61.06927,Blocked,3.3,0.055,0.01
61.11368,Unblocked,,,
61.9132,Blocked,3.35,0.055,-0.01
61.95751,Unblocked,,,
62.90995,Blocked,3.4,0.055,0.01
62.95479,Unblocked,,,
63.75324,Blocked,3.45,0.055,-0.01
63.79806,Unblocked,,,
64.75062,Blocked,3.5,0.055,0.01
64.79589,Unblocked,,,
65.59256,Blocked,3.55,0.055,-0.01
65.63788,Unblocked,,,
66.59031,Blocked,3.6,0.055,0.01
66.63609,Unblocked,,,
67.43123,Blocked,3.65,0.055,-0.01
67.47695,Unblocked,,,
68.4298,Blocked,3.7,0.055,0.01
68.47602,Unblocked,,,
69.27007,Blocked,3.75,0.055,-0.01
69.31628,Unblocked,,,
70.2693,Blocked,3.8,0.055,0.01
70.31599,Unblocked,,,
71.10827,Blocked,3.85,0.055,-0.01
71.15499,Unblocked,,,
72.10785,Blocked,3.9,0.055,0.01
72.15512,Unblocked,,,
72.94593,Blocked,3.95,0.055,-0.01
72.99301,Unblocked,,,
73.94626,Blocked,4,0.055,0.01
73.99397,Unblocked,,,
74.78362,Blocked,4.05,0.055,-0.01
74.83123,Unblocked,,,
75.78474,Blocked,4.1,0.055,0.01
75.83279,Unblocked,,,
76.62071,Blocked,4.15,0.055,-0.01
76.66888,Unblocked,,,
77.6223,Blocked,4.2,0.055,0.01
77.67091,Unblocked,,,
78.45735,Blocked,4.25,0.055,-0.01
78.50591,Unblocked,,,
79.45974,Blocked,4.3,0.055,0.01
79.50881,Unblocked,,,
80.29414,Blocked,4.35,0.055,-0.01
80.34319,Unblocked,,,
81.29716,Blocked,4.4,0.055,0.01
81.34669,Unblocked,,,
82.13039,Blocked,4.45,0.055,-0.01
82.17994,Unblocked,,,
83.13379,Blocked,4.5,0.055,0.01
83.18393,Unblocked,,,
83.96609,Blocked,4.55,0.055,-0.01
84.01602,Unblocked,,,
84.97029,Blocked,4.6,0.055,0.01
85.02082,Unblocked,,,
85.80181,Blocked,4.65,0.055,-0.01
85.85231,Unblocked,,,
86.80682,Blocked,4.7,0.055,0.01
86.85776,Unblocked,,,
87.63711,Blocked,4.75,0.055,-0.01
87.68814,Unblocked,,,
88.64259,Blocked,4.8,0.056,0.01
88.69407,Unblocked,,,
89.47191,Blocked,4.85,0.056,-0.01
89.52334,Unblocked,,,
90.47816,Blocked,4.9,0.056,0.01
90.53013,Unblocked,,,
91.30676,Blocked,4.95,0.056,-0.01
91.35869,Unblocked,,,
92.31376,Blocked,5,0.056,0.01
92.36622,Unblocked,,,
93.14121,Blocked,5.05,0.056,-0.01
93.19362,Unblocked,,,
94.1487,Blocked,5.1,0.056,0.01
94.20175,Unblocked,,,
94.9752,Blocked,5.15,0.056,-0.01
95.02802,Unblocked,,,
95.9835,Blocked,5.2,0.056,0.01
96.03703,Unblocked,,,
96.80916,Blocked,5.25,0.056,-0.01
96.86255,Unblocked,,,
97.81833,Blocked,5.3,0.056,0.01
97.8723,Unblocked,,,
98.6428,Blocked,5.35,0.056,-0.01
98.69674,Unblocked,,,
99.65253,Blocked,5.4,0.056,0.01
99.70707,Unblocked,,,
100.47601,Blocked,5.45,0.056,-0.01
100.53043,Unblocked,,,
101.48655,Blocked,5.5,0.056,0.01
101.54158,Unblocked,,,
102.30927,Blocked,5.55,0.056,-0.01
102.36423,Unblocked,,,
103.32059,Blocked,5.6,0.056,0.01
103.37611,Unblocked,,,
104.14218,Blocked,5.65,0.056,-0.01
104.19765,Unblocked,,,
105.15407,Blocked,5.7,0.056,0.01
105.21017,Unblocked,,,
105.97466,Blocked,5.75,0.056,-0.01
106.03059,Unblocked,,,
106.98735,Blocked,5.8,0.056,0.01
107.04397,Unblocked,,,
107.80715,Blocked,5.85,0.056,-0.01
107.86357,Unblocked,,,
108.82064,Blocked,5.9,0.056,0.01
108.87774,Unblocked,,,
109.63927,Blocked,5.95,0.056,-0.01
109.69624,Unblocked,,,
110.6534,Blocked,6,0.056,0.01
110.71106,Unblocked,,,
111.47105,Blocked,6.05,0.056,-0.01
111.5285,Unblocked,,,
112.48603,Blocked,6.1,0.056,0.01
112.54418,Unblocked,,,
113.30282,Blocked,6.15,0.056,-0.01
113.36084,Unblocked,,,
114.31865,Blocked,6.2,0.056,0.01
114.3773,Unblocked,,,
115.13429,Blocked,6.25,0.056,-0.01
115.19283,Unblocked,,,
116.15081,Blocked,6.3,0.056,0.01
116.21005,Unblocked,,,
116.96543,Blocked,6.35,0.056,-0.01
117.02448,Unblocked,,,
117.98279,Blocked,6.4,0.056,0.01
118.04258,Unblocked,,,
118.79656,Blocked,6.45,0.056,-0.01
118.85616,Unblocked,,,
119.81476,Blocked,6.5,0.056,0.01
119.87507,Unblocked,,,
120.62736,Blocked,6.55,0.056,-0.01
120.68752,Unblocked,,,
121.64631,Blocked,6.6,0.056,0.01
121.70718,Unblocked,,,
122.4579,Blocked,6.65,0.056,-0.01
122.51857,Unblocked,,,
123.47775,Blocked,6.7,0.056,0.01
123.53916,Unblocked,,,
124.28845,Blocked,6.75,0.056,-0.01
124.34963,Unblocked,,,
125.30912,Blocked,6.8,0.056,0.01
125.37104,Unblocked,,,
126.11865,Blocked,6.85,0.056,-0.01
126.1804,Unblocked,,,
127.14009,Blocked,6.9,0.056,0.01
127.20256,Unblocked,,,
127.94858,Blocked,6.95,0.056,-0.01
128.01086,Unblocked,,,
128.97094,Blocked,7,0.056,0.01
129.03398,Unblocked,,,
129.7785,Blocked,7.05,0.056,-0.01
129.84133,Unblocked,,,
130.80172,Blocked,7.1,0.056,0.01
130.86527,Unblocked,,,
131.60814,Blocked,7.15,0.056,-0.01
131.67156,Unblocked,,,
132.63214,Blocked,7.2,0.056,0.01
132.69629,Unblocked,,,
133.43758,Blocked,7.25,0.056,-0.01
133.50151,Unblocked,,,
134.4625,Blocked,7.3,0.056,0.01
134.52722,Unblocked,,,
135.26701,Blocked,7.35,0.056,-0.01
135.33149,Unblocked,,,
136.29277,Blocked,7.4,0.056,0.01
136.35807,Unblocked,,,
137.09613,Blocked,7.45,0.056,-0.01
137.16117,Unblocked,,,
138.12269,Blocked,7.5,0.056,0.01
138.18858,Unblocked,,,
138.92503,Blocked,7.55,0.056,-0.01
138.99061,Unblocked,,,
139.95252,Blocked,7.6,0.056,0.02
140.01897,Unblocked,,,
140.75391,Blocked,7.65,0.056,-0.02
140.82007,Unblocked,,,
141.7823,Blocked,7.7,0.056,0.02
141.8493,Unblocked,,,
142.58251,Blocked,7.75,0.056,-0.02
142.64924,Unblocked,,,
143.61171,Blocked,7.8,0.056,0.02
143.67931,Unblocked,,,
144.4109,Blocked,7.85,0.056,-0.02
144.47821,Unblocked,,,
145.44106,Blocked,7.9,0.056,0.02
145.50924,Unblocked,,,
146.23932,Blocked,7.95,0.056,-0.02
146.30719,Unblocked,,,
147.27031,Blocked,8,0.057,0.02
147.33908,Unblocked,,,
148.06743,Blocked,8.05,0.057,-0.02
148.13589,Unblocked,,,
149.09929,Blocked,8.1,0.057,0.02
149.16868,Unblocked,,,
149.89537,Blocked,8.15,0.057,-0.02
149.96442,Unblocked,,,
150.92828,Blocked,8.2,0.057,0.02
150.99822,Unblocked,,,
151.7233,Blocked,8.25,0.057,-0.02
151.79295,Unblocked,,,
152.75715,Blocked,8.3,0.057,0.02
152.82767,Unblocked,,,
153.551,Blocked,8.35,0.057,-0.02
153.62125,Unblocked,,,
154.58572,Blocked,8.4,0.057,0.02
154.65687,Unblocked,,,
155.37856,Blocked,8.45,0.057,-0.02
155.44936,Unblocked,,,
156.41429,Blocked,8.5,0.057,0.02
156.48602,Unblocked,,,
157.2061,Blocked,8.55,0.057,-0.02
157.27749,Unblocked,,,
158.24277,Blocked,8.6,0.057,0.02
158.3151,Unblocked,,,
159.03339,Blocked,8.65,0.057,-0.02
159.10539,Unblocked,,,
160.07096,Blocked,8.7,0.057,0.02
160.14389,Unblocked,,,
160.86055,Blocked,8.75,0.057,-0.02
160.93315,Unblocked,,,
161.89908,Blocked,8.8,0.057,0.02
161.97265,Unblocked,,,
162.68766,Blocked,8.85,0.057,-0.02
162.76083,Unblocked,,,
163.72712,Blocked,8.9,0.057,0.02
163.80129,Unblocked,,,
164.51452,Blocked,8.95,0.057,-0.02
164.5883,Unblocked,,,
165.55496,Blocked,9,0.057,0.02
165.62976,Unblocked,,,
166.34129,Blocked,9.05,0.057,-0.02
166.41567,Unblocked,,,
167.38275,Blocked,9.1,0.057,0.02
167.45817,Unblocked,,,
168.16801,Blocked,9.15,0.057,-0.02
168.24301,Unblocked,,,
169.21044,Blocked,9.2,0.057,0.02
169.28647,Unblocked,,,
169.99455,Blocked,9.25,0.057,-0.02
170.07015,Unblocked,,,
171.03787,Blocked,9.3,0.057,0.02
171.11456,Unblocked,,,
171.82096,Blocked,9.35,0.057,-0.02
171.89714,Unblocked,,,
172.86533,Blocked,9.4,0.057,0.02
172.9426,Unblocked,,,
173.64728,Blocked,9.45,0.057,-0.02
173.72411,Unblocked,,,
174.69269,Blocked,9.5,0.057,0.02
174.77059,Unblocked,,,
175.47344,Blocked,9.55,0.057,-0.02
175.55089,Unblocked,,,
176.51985,Blocked,9.6,0.057,0.02
176.59841,Unblocked,,,
177.29952,Blocked,9.65,0.057,-0.02
177.37756,Unblocked,,,
178.34697,Blocked,9.7,0.057,0.02
178.42616,Unblocked,,,
179.12552,Blocked,9.75,0.057,-0.02
179.20421,Unblocked,,,
180.17395,Blocked,9.8,0.057,0.02
180.25382,Unblocked,,,
180.95139,Blocked,9.85,0.057,-0.02
181.03069,Unblocked,,,
182.00083,Blocked,9.9,0.057,0.02
182.08134,Unblocked,,,
182.77707,Blocked,9.95,0.057,-0.02
182.85699,Unblocked,,,
183.82758,Blocked,10,0.057,0.02
183.90874,Unblocked,,,
184.60277,Blocked,10.05,0.057,-0.02
184.68329,Unblocked,,,
185.65425,Blocked,10.1,0.057,0.02
185.73608,Unblocked,,,
186.42818,Blocked,10.15,0.057,-0.02
186.50933,Unblocked,,,
187.48074,Blocked,10.2,0.057,0.02
187.56325,Unblocked,,,
188.2535,Blocked,10.25,0.057,-0.02
188.33527,Unblocked,,,
189.30719,Blocked,10.3,0.057,0.02
189.39035,Unblocked,,,
190.07873,Blocked,10.35,0.057,-0.02
190.16116,Unblocked,,,
191.13356,Blocked,10.4,0.058,0.02
191.21743,Unblocked,,,
191.90392,Blocked,10.45,0.058,-0.02
191.98702,Unblocked,,,
192.95983,Blocked,10.5,0.058,0.02
193.04439,Unblocked,,,
193.72909,Blocked,10.55,0.058,-0.02
193.8128,Unblocked,,,
194.78601,Blocked,10.6,0.058,0.02
194.87124,Unblocked,,,
195.55416,Blocked,10.65,0.058,-0.02
195.6385,Unblocked,,,
196.61202,Blocked,10.7,0.058,0.02
196.69792,Unblocked,,,
197.37906,Blocked,10.75,0.058,-0.02
197.46406,Unblocked,,,
198.43794,Blocked,10.8,0.058,0.02
198.52454,Unblocked,,,
199.20392,Blocked,10.85,0.058,-0.02
199.28953,Unblocked,,,
200.26386,Blocked,10.9,0.058,0.02
200.35113,Unblocked,,,
201.02863,Blocked,10.95,0.058,-0.02
201.11494,Unblocked,,,
202.08966,Blocked,11,0.058,0.02
202.17764,Unblocked,,,
202.85326,Blocked,11.05,0.058,-0.02
202.9402,Unblocked,,,
203.91534,Blocked,11.1,0.058,0.02
204.00404,Unblocked,,,
204.67777,Blocked,11.15,0.058,-0.02
204.76539,Unblocked,,,
205.74104,Blocked,11.2,0.058,0.02
205.83043,Unblocked,,,
206.50224,Blocked,11.25,0.058,-0.02
206.59057,Unblocked,,,
207.56659,Blocked,11.3,0.058,0.02
207.65675,Unblocked,,,
208.32659,Blocked,11.35,0.058,-0.02
208.41562,Unblocked,,,
209.39208,Blocked,11.4,0.058,0.02
209.48295,Unblocked,,,
210.15088,Blocked,11.45,0.058,-0.02
210.24062,Unblocked,,,
211.21751,Blocked,11.5,0.058,0.02
211.30912,Unblocked,,,
211.97505,Blocked,11.55,0.058,-0.02
212.06552,Unblocked,,,
213.04281,Blocked,11.6,0.058,0.02
213.13517,Unblocked,,,
213.7991,Blocked,11.65,0.058,-0.02
213.89031,Unblocked,,,
214.86807,Blocked,11.7,0.058,0.02
214.96115,Unblocked,,,
215.62309,Blocked,11.75,0.058,-0.02
215.71506,Unblocked,,,
216.69328,Blocked,11.8,0.058,0.02
216.78714,Unblocked,,,
217.4469,Blocked,11.85,0.058,-0.02
217.53965,Unblocked,,,
218.51834,Blocked,11.9,0.058,0.02
218.61297,Unblocked,,,
219.27051,Blocked,11.95,0.058,-0.02
219.36403,Unblocked,,,
220.34323,Blocked,12,0.058,0.02
220.43865,Unblocked,,,
221.09401,Blocked,12.05,0.058,-0.02
221.18838,Unblocked,,,
222.1681,Blocked,12.1,0.058,0.02
222.26432,Unblocked,,,
222.9175,Blocked,12.15,0.058,-0.02
223.01268,Unblocked,,,
223.99285,Blocked,12.2,0.058,0.02
224.08985,Unblocked,,,
224.74087,Blocked,12.25,0.058,-0.02
224.83692,Unblocked,,,
225.8175,Blocked,12.3,0.059,0.02
225.91532,Unblocked,,,
226.56427,Blocked,12.35,0.059,-0.02
226.66115,Unblocked,,,
227.64217,Blocked,12.4,0.059,0.02
227.74079,Unblocked,,,
228.38758,Blocked,12.45,0.059,-0.02
228.48531,Unblocked,,,
229.46676,Blocked,12.5,0.059,0.02
229.56624,Unblocked,,,
230.21083,Blocked,12.55,0.059,-0.02
230.30945,Unblocked,,,
231.29132,Blocked,12.6,0.059,0.02
231.39161,Unblocked,,,
232.03403,Blocked,12.65,0.059,-0.02
232.1335,Unblocked,,,
233.11577,Blocked,12.7,0.059,0.02
233.21694,Unblocked,,,
233.85708,Blocked,12.75,0.059,-0.02
233.95745,Unblocked,,,
234.94017,Blocked,12.8,0.059,0.02
235.04219,Unblocked,,,
235.68006,Blocked,12.85,0.059,-0.02
235.78135,Unblocked,,,
236.76451,Blocked,12.9,0.059,0.02
236.86733,Unblocked,,,
237.50301,Blocked,12.95,0.059,-0.02
237.60516,Unblocked,,,
238.58881,Blocked,13,0.059,0.02
238.69247,Unblocked,,,
239.32577,Blocked,13.05,0.059,-0.02
239.42891,Unblocked,,,
240.41299,Blocked,13.1,0.059,0.02
240.51753,Unblocked,,,
241.14844,Blocked,13.15,0.059,-0.02
241.25252,Unblocked,,,
242.2371,Blocked,13.2,0.059,0.02
242.34247,Unblocked,,,
242.97108,Blocked,13.25,0.059,-0.02
243.07608,Unblocked,,,
244.06114,Blocked,13.3,0.059,0.02
244.16736,Unblocked,,,
244.79362,Blocked,13.35,0.059,-0.02
244.89959,Unblocked,,,
245.88512,Blocked,13.4,0.059,0.02
245.99231,Unblocked,,,
246.61617,Blocked,13.45,0.059,-0.02
246.7231,Unblocked,,,
247.70908,Blocked,13.5,0.059,0.02
247.81714,Unblocked,,,
248.43867,Blocked,13.55,0.059,-0.03
248.54655,Unblocked,,,
249.53294,Blocked,13.6,0.059,0.03
249.6419,Unblocked,,,
250.26104,Blocked,13.65,0.059,-0.03
250.36988,Unblocked,,,
251.35676,Blocked,13.7,0.06,0.03
251.46661,Unblocked,,,
252.08335,Blocked,13.75,0.06,-0.03
252.19313,Unblocked,,,
253.18054,Blocked,13.8,0.06,0.03
253.2913,Unblocked,,,
253.90562,Blocked,13.85,0.06,-0.03
254.01637,Unblocked,,,
255.0043,Blocked,13.9,0.06,0.03
255.11597,Unblocked,,,
255.72776,Blocked,13.95,0.06,-0.03
255.83949,Unblocked,,,
256.82795,Blocked,14,0.06,0.03
256.94046,Unblocked,,,
257.54982,Blocked,14.05,0.06,-0.03
257.66255,Unblocked,,,
258.65157,Blocked,14.1,0.06,0.03
258.76496,Unblocked,,,
259.37189,Blocked,14.15,0.06,-0.03
259.48553,Unblocked,,,
260.47514,Blocked,14.2,0.06,0.03
260.5895,Unblocked,,,
261.19389,Blocked,14.25,0.06,-0.03
261.30855,Unblocked,,,
262.29857,Blocked,14.3,0.06,0.03
262.41387,Unblocked,,,
263.01578,Blocked,14.35,0.06,-0.03
263.13145,Unblocked,,,
264.12202,Blocked,14.4,0.06,0.03
264.23827,Unblocked,,,
264.8377,Blocked,14.45,0.06,-0.03
264.9544,Unblocked,,,
265.94537,Blocked,14.5,0.06,0.03
266.06255,Unblocked,,,
266.65946,Blocked,14.55,0.06,-0.03
266.77714,Unblocked,,,
267.76857,Blocked,14.6,0.06,0.03
267.88676,Unblocked,,,
268.48102,Blocked,14.65,0.06,-0.03
268.59975,Unblocked,,,
269.59178,Blocked,14.7,0.06,0.03
269.71091,Unblocked,,,
270.30254,Blocked,14.75,0.06,-0.03
270.42233,Unblocked,,,
271.41499,Blocked,14.8,0.061,0.03
271.53513,Unblocked,,,
272.12409,Blocked,14.85,0.061,-0.03
272.24489,Unblocked,,,
273.23813,Blocked,14.9,0.061,0.03
273.3593,Unblocked,,,
273.94559,Blocked,14.95,0.061,-0.03
274.06748,Unblocked,,,
275.06128,Blocked,15,0.061,0.03
275.18337,Unblocked,,,
275.76707,Blocked,15.05,0.061,-0.03
275.89,Unblocked,,,
276.8843,Blocked,15.1,0.061,0.03
277.00732,Unblocked,,,
277.58843,Blocked,15.15,0.061,-0.03
277.71243,Unblocked,,,
278.70727,Blocked,15.2,0.061,0.03
278.83127,Unblocked,,,
279.40971,Blocked,15.25,0.061,-0.03
279.53483,Unblocked,,,
280.53025,Blocked,15.3,0.061,0.03
280.6553,Unblocked,,,
281.23101,Blocked,15.35,0.061,-0.03
281.35724,Unblocked,,,
282.35325,Blocked,15.4,0.061,0.03
282.47936,Unblocked,,,
283.0523,Blocked,15.45,0.061,-0.03
283.17965,Unblocked,,,
284.17612,Blocked,15.5,0.061,0.03
284.30328,Unblocked,,,
284.87347,Blocked,15.55,0.061,-0.03
285.00197,Unblocked,,,
285.99898,Blocked,15.6,0.061,0.03
286.12719,Unblocked,,,
286.69466,Blocked,15.65,0.061,-0.03
286.82426,Unblocked,,,
287.82181,Blocked,15.7,0.062,0.03
287.9511,Unblocked,,,
288.51569,Blocked,15.75,0.061,-0.03
288.64651,Unblocked,,,
289.64455,Blocked,15.8,0.062,0.03
289.77492,Unblocked,,,
290.33669,Blocked,15.85,0.062,-0.03
290.46866,Unblocked,,,
291.46729,Blocked,15.9,0.062,0.03
291.59872,Unblocked,,,
292.15754,Blocked,15.95,0.062,-0.03
292.29074,Unblocked,,,
293.28997,Blocked,16,0.062,0.03
293.42249,Unblocked,,,
293.97831,Blocked,16.05,0.062,-0.03
294.11267,Unblocked,,,
295.11263,Blocked,16.1,0.062,0.03
295.24626,Unblocked,,,
295.79897,Blocked,16.15,0.062,-0.03
295.93458,Unblocked,,,
296.93522,Blocked,16.2,0.062,0.03
297.07003,Unblocked,,,
297.61958,Blocked,16.25,0.062,-0.03
297.75642,Unblocked,,,
298.75773,Blocked,16.3,0.062,0.03
298.8937,Unblocked,,,
299.44022,Blocked,16.35,0.062,-0.03
299.57829,Unblocked,,,
300.58023,Blocked,16.4,0.062,0.03
300.71739,Unblocked,,,
301.26072,Blocked,16.45,0.062,-0.03
301.40005,Unblocked,,,
302.40267,Blocked,16.5,0.063,0.03
302.54096,Unblocked,,,
303.08115,Blocked,16.55,0.063,-0.03
303.22176,Unblocked,,,
304.225,Blocked,16.6,0.063,0.03
304.36449,Unblocked,,,
304.90158,Blocked,16.65,0.063,-0.03
305.04345,Unblocked,,,
306.0473,Blocked,16.7,0.063,0.03
306.18796,Unblocked,,,
306.72197,Blocked,16.75,0.063,-0.03
306.86508,Unblocked,,,
307.86958,Blocked,16.8,0.063,0.03
308.01146,Unblocked,,,
308.54223,Blocked,16.85,0.063,-0.03
308.68667,Unblocked,,,
309.69186,Blocked,16.9,0.063,0.03
309.83496,Unblocked,,,
310.36256,Blocked,16.95,0.063,-0.03
310.50829,Unblocked,,,
311.51407,Blocked,17,0.063,0.03
311.65838,Unblocked,,,
312.18291,Blocked,17.05,0.063,-0.03
312.3299,Unblocked,,,
313.33626,Blocked,17.1,0.063,0.03
313.48173,Unblocked,,,
314.00315,Blocked,17.15,0.063,-0.03
314.15143,Unblocked,,,
315.15831,Blocked,17.2,0.064,0.04
315.30508,Unblocked,,,
315.82337,Blocked,17.25,0.064,-0.04
315.97294,Unblocked,,,
316.98048,Blocked,17.3,0.064,0.04
317.12853,Unblocked,,,
317.6434,Blocked,17.35,0.064,-0.04
317.79435,Unblocked,,,
318.80259,Blocked,17.4,0.064,0.04
318.95197,Unblocked,,,
319.46329,Blocked,17.45,0.064,-0.04
319.61563,Unblocked,,,
320.62465,Blocked,17.5,0.064,0.04
320.77535,Unblocked,,,
321.28322,Blocked,17.55,0.064,-0.04
321.43693,Unblocked,,,
322.44669,Blocked,17.6,0.064,0.04
322.5987,Unblocked,,,
323.10305,Blocked,17.65,0.064,-0.04
323.2582,Unblocked,,,
324.26865,Blocked,17.7,0.064,0.04
324.42205,Unblocked,,,
324.92276,Blocked,17.75,0.064,-0.04
325.07933,Unblocked,,,
326.09058,Blocked,17.8,0.065,0.04
326.2453,Unblocked,,,
326.74246,Blocked,17.85,0.065,-0.04
326.90051,Unblocked,,,
327.91242,Blocked,17.9,0.065,0.04
328.06855,Unblocked,,,
328.56213,Blocked,17.95,0.065,-0.04
328.72165,Unblocked,,,
329.73429,Blocked,18,0.065,0.04
329.89181,Unblocked,,,
330.38174,Blocked,18.05,0.065,-0.04
330.54271,Unblocked,,,
331.55612,Blocked,18.1,0.065,0.04
331.71505,Unblocked,,,
332.20135,Blocked,18.15,0.065,-0.04
332.36376,Unblocked,,,
333.37793,Blocked,18.2,0.065,0.04
333.53828,Unblocked,,,
334.02093,Blocked,18.25,0.065,-0.04
334.18478,Unblocked,,,
335.19964,Blocked,18.3,0.065,0.04
335.36144,Unblocked,,,
335.84037,Blocked,18.35,0.065,-0.04
336.00573,Unblocked,,,
337.02129,Blocked,18.4,0.066,0.04
337.18462,Unblocked,,,
337.65977,Blocked,18.45,0.066,-0.04
337.82664,Unblocked,,,
338.84297,Blocked,18.5,0.066,0.04
339.00778,Unblocked,,,
339.47902,Blocked,18.55,0.066,-0.04
339.6475,Unblocked,,,
340.66461,Blocked,18.6,0.066,0.04
340.83094,Unblocked,,,
341.29824,Blocked,18.65,0.066,-0.04
341.46823,Unblocked,,,
342.48615,Blocked,18.7,0.066,0.04
342.65405,Unblocked,,,
343.11733,Blocked,18.75,0.066,-0.04
343.28897,Unblocked,,,
344.30768,Blocked,18.8,0.067,0.04
344.4772,Unblocked,,,
344.93643,Blocked,18.85,0.067,-0.04
345.10966,Unblocked,,,
346.12919,Blocked,18.9,0.067,0.04
346.3003,Unblocked,,,
346.75552,Blocked,18.95,0.067,-0.04
346.93041,Unblocked,,,
347.95073,Blocked,19,0.067,0.04
348.12343,Unblocked,,,
