Vernier Format 2
mystery.txt 6/15/2026 13:18:47
Run 1
Time	Gate State	Distance	Velocity	Acceleration	
135.33149	Unblocked				
136.29277	Blocked	7.400	0.056	0.01	
136.35807	Unblocked				
137.09613	Blocked	7.450	0.056	-0.01	
137.16117	Unblocked				
138.12269	Blocked	7.500	0.056	0.01	
138.18858	Unblocked				
138.92503	Blocked	7.550	0.056	-0.01	
138.99061	Unblocked				
139.95252	Blocked	7.600	0.056	0.02	
140.01897	Unblocked				
140.75391	Blocked	7.650	0.056	-0.02	
140.82007	Unblocked				
141.78230	Blocked	7.700	0.056	0.02	
141.84930	Unblocked				
142.58251	Blocked	7.750	0.056	-0.02	
142.64924	Unblocked				
143.61171	Blocked	7.800	0.056	0.02	
143.67931	Unblocked				
144.41090	Blocked	7.850	0.056	-0.02	
144.47821	Unblocked				
145.44106	Blocked	7.900	0.056	0.02	
145.50924	Unblocked				
146.23932	Blocked	7.950	0.056	-0.02	
146.30719	Unblocked				
147.27031	Blocked	8.000	0.057	0.02	
147.33908	Unblocked				
148.06743	Blocked	8.050	0.057	-0.02	
148.13589	Unblocked				
149.09929	Blocked	8.100	0.057	0.02	
149.16868	Unblocked				
149.89537	Blocked	8.150	0.057	-0.02	
149.96442	Unblocked				
150.92828	Blocked	8.200	0.057	0.02	
150.99822	Unblocked				
151.72330	Blocked	8.250	0.057	-0.02	
151.79295	Unblocked				
152.75715	Blocked	8.300	0.057	0.02	
152.82767	Unblocked				
153.55100	Blocked	8.350	0.057	-0.02	
153.62125	Unblocked				
154.58572	Blocked	8.400	0.057	0.02	
154.65687	Unblocked				
155.37856	Blocked	8.450	0.057	-0.02	
155.44936	Unblocked				
156.41429	Blocked	8.500	0.057	0.02	
156.48602	Unblocked				
157.20610	Blocked	8.550	0.057	-0.02	
157.27749	Unblocked				
158.24277	Blocked	8.600	0.057	0.02	
158.31510	Unblocked				
159.03339	Blocked	8.650	0.057	-0.02	
159.10539	Unblocked				
160.07096	Blocked	8.700	0.057	0.02	
160.14389	Unblocked				
160.86055	Blocked	8.750	0.057	-0.02	
160.93315	Unblocked				
161.89908	Blocked	8.800	0.057	0.02	
161.97265	Unblocked				
162.68766	Blocked	8.850	0.057	-0.02	
162.76083	Unblocked				
163.72712	Blocked	8.900	0.057	0.02	
163.80129	Unblocked				
164.51452	Blocked	8.950	0.057	-0.02	
164.58830	Unblocked				
165.55496	Blocked	9.000	0.057	0.02	
165.62976	Unblocked				
166.34129	Blocked	9.050	0.057	-0.02	
166.41567	Unblocked				
167.38275	Blocked	9.100	0.057	0.02	
167.45817	Unblocked				
168.16801	Blocked	9.150	0.057	-0.02	
168.24301	Unblocked				
169.21044	Blocked	9.200	0.057	0.02	
169.28647	Unblocked				
169.99455	Blocked	9.250	0.057	-0.02	
170.07015	Unblocked				
171.03787	Blocked	9.300	0.057	0.02	
171.11456	Unblocked				
171.82096	Blocked	9.350	0.057	-0.02	
171.89714	Unblocked				
172.86533	Blocked	9.400	0.057	0.02	
172.94260	Unblocked				
173.64728	Blocked	9.450	0.057	-0.02	
173.72411	Unblocked				
174.69269	Blocked	9.500	0.057	0.02	
174.77059	Unblocked				
175.47344	Blocked	9.550	0.057	-0.02	
175.55089	Unblocked				
176.51985	Blocked	9.600	0.057	0.02	
176.59841	Unblocked				
177.29952	Blocked	9.650	0.057	-0.02	
177.37756	Unblocked				
178.34697	Blocked	9.700	0.057	0.02	
178.42616	Unblocked				
179.12552	Blocked	9.750	0.057	-0.02	
179.20421	Unblocked				
180.17395	Blocked	9.800	0.057	0.02	
180.25382	Unblocked				
180.95139	Blocked	9.850	0.057	-0.02	
181.03069	Unblocked				
182.00083	Blocked	9.900	0.057	0.02	
182.08134	Unblocked				
182.77707	Blocked	9.950	0.057	-0.02	
182.85699	Unblocked				
183.82758	Blocked	10.000	0.057	0.02	
183.90874	Unblocked				
184.60277	Blocked	10.050	0.057	-0.02	
184.68329	Unblocked				
185.65425	Blocked	10.100	0.057	0.02	
185.73608	Unblocked				
186.42818	Blocked	10.150	0.057	-0.02	
186.50933	Unblocked				
187.48074	Blocked	10.200	0.057	0.02	
187.56325	Unblocked				
188.25350	Blocked	10.250	0.057	-0.02	
188.33527	Unblocked				
189.30719	Blocked	10.300	0.057	0.02	
189.39035	Unblocked				
190.07873	Blocked	10.350	0.057	-0.02	
190.16116	Unblocked				
191.13356	Blocked	10.400	0.058	0.02	
191.21743	Unblocked				
191.90392	Blocked	10.450	0.058	-0.02	
191.98702	Unblocked				
192.95983	Blocked	10.500	0.058	0.02	
193.04439	Unblocked				
193.72909	Blocked	10.550	0.058	-0.02	
193.81280	Unblocked				
194.78601	Blocked	10.600	0.058	0.02	
194.87124	Unblocked				
195.55416	Blocked	10.650	0.058	-0.02	
195.63850	Unblocked				
196.61202	Blocked	10.700	0.058	0.02	
196.69792	Unblocked				
197.37906	Blocked	10.750	0.058	-0.02	
197.46406	Unblocked				
198.43794	Blocked	10.800	0.058	0.02	
198.52454	Unblocked				
199.20392	Blocked	10.850	0.058	-0.02	
199.28953	Unblocked				
200.26386	Blocked	10.900	0.058	0.02	
200.35113	Unblocked				
201.02863	Blocked	10.950	0.058	-0.02	
201.11494	Unblocked				
202.08966	Blocked	11.000	0.058	0.02	
202.17764	Unblocked				
202.85326	Blocked	11.050	0.058	-0.02	
202.94020	Unblocked				
203.91534	Blocked	11.100	0.058	0.02	
204.00404	Unblocked				
204.67777	Blocked	11.150	0.058	-0.02	
204.76539	Unblocked				
205.74104	Blocked	11.200	0.058	0.02	
205.83043	Unblocked				
206.50224	Blocked	11.250	0.058	-0.02	
206.59057	Unblocked				
207.56659	Blocked	11.300	0.058	0.02	
207.65675	Unblocked				
208.32659	Blocked	11.350	0.058	-0.02	
208.41562	Unblocked				
209.39208	Blocked	11.400	0.058	0.02	
209.48295	Unblocked				
210.15088	Blocked	11.450	0.058	-0.02	
210.24062	Unblocked				
211.21751	Blocked	11.500	0.058	0.02	
211.30912	Unblocked				
211.97505	Blocked	11.550	0.058	-0.02	
212.06552	Unblocked				
213.04281	Blocked	11.600	0.058	0.02	
213.13517	Unblocked				
213.79910	Blocked	11.650	0.058	-0.02	
213.89031	Unblocked				
214.86807	Blocked	11.700	0.058	0.02	
214.96115	Unblocked				
215.62309	Blocked	11.750	0.058	-0.02	
215.71506	Unblocked				
216.69328	Blocked	11.800	0.058	0.02	
216.78714	Unblocked				
217.44690	Blocked	11.850	0.058	-0.02	
217.53965	Unblocked				
218.51834	Blocked	11.900	0.058	0.02	
218.61297	Unblocked				
219.27051	Blocked	11.950	0.058	-0.02	
219.36403	Unblocked				
220.34323	Blocked	12.000	0.058	0.02	
220.43865	Unblocked				
221.09401	Blocked	12.050	0.058	-0.02	
221.18838	Unblocked				
222.16810	Blocked	12.100	0.058	0.02	
222.26432	Unblocked				
222.91750	Blocked	12.150	0.058	-0.02	
223.01268	Unblocked				
223.99285	Blocked	12.200	0.058	0.02	
224.08985	Unblocked				
224.74087	Blocked	12.250	0.058	-0.02	
224.83692	Unblocked				
225.81750	Blocked	12.300	0.059	0.02	
225.91532	Unblocked				
226.56427	Blocked	12.350	0.059	-0.02	
226.66115	Unblocked				
227.64217	Blocked	12.400	0.059	0.02	
227.74079	Unblocked				
228.38758	Blocked	12.450	0.059	-0.02	
228.48531	Unblocked				
229.46676	Blocked	12.500	0.059	0.02	
229.56624	Unblocked				
230.21083	Blocked	12.550	0.059	-0.02	
230.30945	Unblocked				
231.29132	Blocked	12.600	0.059	0.02	
231.39161	Unblocked				
232.03403	Blocked	12.650	0.059	-0.02	
232.13350	Unblocked				
233.11577	Blocked	12.700	0.059	0.02	
233.21694	Unblocked				
233.85708	Blocked	12.750	0.059	-0.02	
233.95745	Unblocked				
234.94017	Blocked	12.800	0.059	0.02	
235.04219	Unblocked				
235.68006	Blocked	12.850	0.059	-0.02	
235.78135	Unblocked				
236.76451	Blocked	12.900	0.059	0.02	
236.86733	Unblocked				
237.50301	Blocked	12.950	0.059	-0.02	
237.60516	Unblocked				
238.58881	Blocked	13.000	0.059	0.02	
238.69247	Unblocked				
239.32577	Blocked	13.050	0.059	-0.02	
239.42891	Unblocked				
240.41299	Blocked	13.100	0.059	0.02	
240.51753	Unblocked				
241.14844	Blocked	13.150	0.059	-0.02	
241.25252	Unblocked				
242.23710	Blocked	13.200	0.059	0.02	
242.34247	Unblocked				
242.97108	Blocked	13.250	0.059	-0.02	
243.07608	Unblocked				
244.06114	Blocked	13.300	0.059	0.02	
244.16736	Unblocked				
244.79362	Blocked	13.350	0.059	-0.02	
244.89959	Unblocked				
245.88512	Blocked	13.400	0.059	0.02	
245.99231	Unblocked				
246.61617	Blocked	13.450	0.059	-0.02	
246.72310	Unblocked				
247.70908	Blocked	13.500	0.059	0.02	
247.81714	Unblocked				
248.43867	Blocked	13.550	0.059	-0.03	
248.54655	Unblocked				
249.53294	Blocked	13.600	0.059	0.03	
249.64190	Unblocked				
250.26104	Blocked	13.650	0.059	-0.03	
250.36988	Unblocked				
251.35676	Blocked	13.700	0.060	0.03	
251.46661	Unblocked				
252.08335	Blocked	13.750	0.060	-0.03	
252.19313	Unblocked				
253.18054	Blocked	13.800	0.060	0.03	
253.29130	Unblocked				
253.90562	Blocked	13.850	0.060	-0.03	
254.01637	Unblocked				
255.00430	Blocked	13.900	0.060	0.03	
255.11597	Unblocked				
255.72776	Blocked	13.950	0.060	-0.03	
255.83949	Unblocked				
256.82795	Blocked	14.000	0.060	0.03	
256.94046	Unblocked				
257.54982	Blocked	14.050	0.060	-0.03	
257.66255	Unblocked				
258.65157	Blocked	14.100	0.060	0.03	
258.76496	Unblocked				
259.37189	Blocked	14.150	0.060	-0.03	
259.48553	Unblocked				
260.47514	Blocked	14.200	0.060	0.03	
260.58950	Unblocked				
261.19389	Blocked	14.250	0.060	-0.03	
261.30855	Unblocked				
262.29857	Blocked	14.300	0.060	0.03	
262.41387	Unblocked				
263.01578	Blocked	14.350	0.060	-0.03	
263.13145	Unblocked				
264.12202	Blocked	14.400	0.060	0.03	
264.23827	Unblocked				
264.83770	Blocked	14.450	0.060	-0.03	
264.95440	Unblocked				
265.94537	Blocked	14.500	0.060	0.03	
266.06255	Unblocked				
266.65946	Blocked	14.550	0.060	-0.03	
266.77714	Unblocked				
267.76857	Blocked	14.600	0.060	0.03	
267.88676	Unblocked				
268.48102	Blocked	14.650	0.060	-0.03	
268.59975	Unblocked				
269.59178	Blocked	14.700	0.060	0.03	
269.71091	Unblocked				
270.30254	Blocked	14.750	0.060	-0.03	
270.42233	Unblocked				
271.41499	Blocked	14.800	0.061	0.03	
271.53513	Unblocked				
272.12409	Blocked	14.850	0.061	-0.03	
272.24489	Unblocked				
273.23813	Blocked	14.900	0.061	0.03	
273.35930	Unblocked				
273.94559	Blocked	14.950	0.061	-0.03	
274.06748	Unblocked				
275.06128	Blocked	15.000	0.061	0.03	
275.18337	Unblocked				
275.76707	Blocked	15.050	0.061	-0.03	
275.89000	Unblocked				
276.88430	Blocked	15.100	0.061	0.03	
277.00732	Unblocked				
277.58843	Blocked	15.150	0.061	-0.03	
277.71243	Unblocked				
278.70727	Blocked	15.200	0.061	0.03	
278.83127	Unblocked				
279.40971	Blocked	15.250	0.061	-0.03	
279.53483	Unblocked				
280.53025	Blocked	15.300	0.061	0.03	
280.65530	Unblocked				
281.23101	Blocked	15.350	0.061	-0.03	
281.35724	Unblocked				
282.35325	Blocked	15.400	0.061	0.03	
282.47936	Unblocked				
283.05230	Blocked	15.450	0.061	-0.03	
283.17965	Unblocked				
284.17612	Blocked	15.500	0.061	0.03	
284.30328	Unblocked				
284.87347	Blocked	15.550	0.061	-0.03	
285.00197	Unblocked				
285.99898	Blocked	15.600	0.061	0.03	
286.12719	Unblocked				
286.69466	Blocked	15.650	0.061	-0.03	
286.82426	Unblocked				
287.82181	Blocked	15.700	0.062	0.03	
287.95110	Unblocked				
288.51569	Blocked	15.750	0.061	-0.03	
288.64651	Unblocked				
289.64455	Blocked	15.800	0.062	0.03	
289.77492	Unblocked				
290.33669	Blocked	15.850	0.062	-0.03	
290.46866	Unblocked				
291.46729	Blocked	15.900	0.062	0.03	
291.59872	Unblocked				
292.15754	Blocked	15.950	0.062	-0.03	
292.29074	Unblocked				
293.28997	Blocked	16.000	0.062	0.03	
293.42249	Unblocked				
293.97831	Blocked	16.050	0.062	-0.03	
294.11267	Unblocked				
295.11263	Blocked	16.100	0.062	0.03	
295.24626	Unblocked				
295.79897	Blocked	16.150	0.062	-0.03	
295.93458	Unblocked				
296.93522	Blocked	16.200	0.062	0.03	
297.07003	Unblocked				
297.61958	Blocked	16.250	0.062	-0.03	
297.75642	Unblocked				
298.75773	Blocked	16.300	0.062	0.03	
298.89370	Unblocked				
299.44022	Blocked	16.350	0.062	-0.03	
299.57829	Unblocked				
300.58023	Blocked	16.400	0.062	0.03	
300.71739	Unblocked				
301.26072	Blocked	16.450	0.062	-0.03	
301.40005	Unblocked				
302.40267	Blocked	16.500	0.063	0.03	
302.54096	Unblocked				
303.08115	Blocked	16.550	0.063	-0.03	
303.22176	Unblocked				
304.22500	Blocked	16.600	0.063	0.03	
304.36449	Unblocked				
304.90158	Blocked	16.650	0.063	-0.03	
305.04345	Unblocked				
306.04730	Blocked	16.700	0.063	0.03	
306.18796	Unblocked				
306.72197	Blocked	16.750	0.063	-0.03	
306.86508	Unblocked				
307.86958	Blocked	16.800	0.063	0.03	
308.01146	Unblocked				
308.54223	Blocked	16.850	0.063	-0.03	
308.68667	Unblocked				
309.69186	Blocked	16.900	0.063	0.03	
309.83496	Unblocked				
310.36256	Blocked	16.950	0.063	-0.03	
310.50829	Unblocked				
311.51407	Blocked	17.000	0.063	0.03	
311.65838	Unblocked				
312.18291	Blocked	17.050	0.063	-0.03	
312.32990	Unblocked				
313.33626	Blocked	17.100	0.063	0.03	
313.48173	Unblocked				
314.00315	Blocked	17.150	0.063	-0.03	
314.15143	Unblocked				
315.15831	Blocked	17.200	0.064	0.04	
315.30508	Unblocked				
315.82337	Blocked	17.250	0.064	-0.04	
315.97294	Unblocked				
316.98048	Blocked	17.300	0.064	0.04	
317.12853	Unblocked				
317.64340	Blocked	17.350	0.064	-0.04	
317.79435	Unblocked				
318.80259	Blocked	17.400	0.064	0.04	
318.95197	Unblocked				
319.46329	Blocked	17.450	0.064	-0.04	
319.61563	Unblocked				
320.62465	Blocked	17.500	0.064	0.04	
320.77535	Unblocked				
321.28322	Blocked	17.550	0.064	-0.04	
321.43693	Unblocked				
322.44669	Blocked	17.600	0.064	0.04	
322.59870	Unblocked				
323.10305	Blocked	17.650	0.064	-0.04	
323.25820	Unblocked				
324.26865	Blocked	17.700	0.064	0.04	
324.42205	Unblocked				
324.92276	Blocked	17.750	0.064	-0.04	
325.07933	Unblocked				
326.09058	Blocked	17.800	0.065	0.04	
326.24530	Unblocked				
326.74246	Blocked	17.850	0.065	-0.04	
326.90051	Unblocked				
327.91242	Blocked	17.900	0.065	0.04	
328.06855	Unblocked				
328.56213	Blocked	17.950	0.065	-0.04	
328.72165	Unblocked				
329.73429	Blocked	18.000	0.065	0.04	
329.89181	Unblocked				
330.38174	Blocked	18.050	0.065	-0.04	
330.54271	Unblocked				
331.55612	Blocked	18.100	0.065	0.04	
331.71505	Unblocked				
332.20135	Blocked	18.150	0.065	-0.04	
332.36376	Unblocked				
333.37793	Blocked	18.200	0.065	0.04	
333.53828	Unblocked				
334.02093	Blocked	18.250	0.065	-0.04	
334.18478	Unblocked				
335.19964	Blocked	18.300	0.065	0.04	
335.36144	Unblocked				
335.84037	Blocked	18.350	0.065	-0.04	
336.00573	Unblocked				
337.02129	Blocked	18.400	0.066	0.04	
337.18462	Unblocked				
337.65977	Blocked	18.450	0.066	-0.04	
337.82664	Unblocked				
338.84297	Blocked	18.500	0.066	0.04	
339.00778	Unblocked				
339.47902	Blocked	18.550	0.066	-0.04	
339.64750	Unblocked				
340.66461	Blocked	18.600	0.066	0.04	
340.83094	Unblocked				
341.29824	Blocked	18.650	0.066	-0.04	
341.46823	Unblocked				
342.48615	Blocked	18.700	0.066	0.04	
342.65405	Unblocked				
343.11733	Blocked	18.750	0.066	-0.04	
343.28897	Unblocked				
344.30768	Blocked	18.800	0.067	0.04	
344.47720	Unblocked				
344.93643	Blocked	18.850	0.067	-0.04	
345.10966	Unblocked				
346.12919	Blocked	18.900	0.067	0.04	
346.30030	Unblocked				
346.75552	Blocked	18.950	0.067	-0.04	
346.93041	Unblocked				
347.95073	Blocked	19.000	0.067	0.04	
348.12343	Unblocked				
348.57445	Blocked	19.050	0.067	-0.04	
348.75103	Unblocked				
349.77220	Blocked	19.100	0.067	0.04	
349.94656	Unblocked				
350.39329	Blocked	19.150	0.067	-0.04	
350.57157	Unblocked				
351.59365	Blocked	19.200	0.068	0.04	
351.76964	Unblocked				
352.21219	Blocked	19.250	0.068	-0.04	
352.39210	Unblocked				
353.41496	Blocked	19.300	0.068	0.04	
353.59279	Unblocked				
354.03091	Blocked	19.350	0.068	-0.04	
354.21263	Unblocked				
355.23627	Blocked	19.400	0.068	0.04	
355.41582	Unblocked				
355.84949	Blocked	19.450	0.068	-0.04	
356.03301	Unblocked				
